Data do mutirão;Horário de início;Ambiente ;Estado;Cidade;Nome do local (exemplo: praia de boa viagem);Bairro ou distrito;Ponto de Referência;Extensão aproximada da área de coleta ;Largura aproximada da área de coleta (em metros);Coordenadas geográficas do local de limpeza;Instituição Organizadora;Caráter da instituição;Site institucional;Número aproximado de participantes (total);Número aproximado de participantes crianças;Número aproximado de participantes jovens;Número aproximado de participantes adultos;Número aproximado de participantes idosos;Duração da coleta;Duração da triagem;Duração total (coleta + triagem);Peso total dos resíduos (kg);Quantidade total de itens coletados;Plástico (total);1. Fragmentos de plástico (maiores que 2,5 cm).;2. Brinquedos;3. Canudos;4. Copos/talheres/pratos;5. Embalagens de alimento;6. Escovas de dente;7. Esponjas/espumas;8. Galões;9. Garrafas PET;10. Hastes de cotonete/pirulito;11. Isqueiros;12. Pedaços de isopor (maiores que 2,5 cm);13. Pinos de plástico;14. Sacos e sacolas;15. Tampas/lacres/argolas de garrafa;16. Outros (descreva);Borracha (total);1. Balões e bexigas;2. Câmaras de ar;3. Chinelos/sandálias;4. Luvas;5. Pneus;6. Preservativos (camisinha);7. Outros (descreva);Madeira (total);1. Espetos/varas;2. Fósforos;3. Palitos de dente;4. Palitos de sorvete/picolé;5. Pedaços de madeira;6. Outros (descreva);Produtos têxteis (total);1. Aviamentos (linhas/barbantes);2. Calçados (sapatos, tênis);3. Roupas e pedaços de tecido;4. Outros (descreva);Papel (total);1. Caixas de leite/suco, etc;2. Embalagens de cigarro;3. Embalagens de papel;4. Jornais/panfletos/revistas/livros;5. Papelão;6. Pedaços de papel/guardanapos;7. Outros (Descreva)2;Metal (total);1. Anéis de lacre de latas de bebidas;2. Latas de bebidas;3. Latas (comida, desodorante, óleo, tinta, etc.);4. Pedaços de metal;5. Tampas de metal;6. Outros (descreva)2;Vidro (total);1. Copos/xícaras/pratos;2. Garrafas;3. Lâmpadas;4. Pedaços de cerâmica;5. Pedaços de vidro;6. Potes de vidro ou cerâmica;7. Outros (descreva)3;Materiais de Pesca (total);1. Anzóis;2. Boias;3. Linhas de pesca;4. Pedaços de corda;5. Redes/pedaços de rede;6. Outros (descreva)5;Outros Resíduos (total);1. Bitucas/guimbas/filtros de cigarro;2. Cera de vela/parafina;3. Eletroeletrônicos (TV, celular, computador, etc.);4. Entulhos/material de construção;5. Fraldas e absorventes;6. Seringas;7. Outros (descreva)6;Animais;Animais Vivos;Animais Mortos;Especificar animais;Qual foi a destinação dos resíduos coletados2;Eixo da Agenda Ambiental Urbana
18/09/2021;08:00:00;Rio;TO;Palmas;Praia da Graciosa, Arnos, Luzimangues, Cajú, Prata e Ilha da INVESTCO;PLANO DIRRETOR SUL;PRAIA DA GRACIOSA;2074;271;;Marinha do Brasil;Poder público;www.marinha.mil.br/cfat;30;0;0;30;0;Mais de 90 minutos;1 hora;04:00:00;158;800;0;;;;;;;;;;;;;;;;;0;;;;;;;;0;;;;;;;0;;;;;0;;;;;;;;0;;;;;;;0;;;;;;;;0;;;;;;;0;;;;;;;;0;;;;Cooperativa de catadores;Rios +Limpos
18/09/2021;09:00:00;Rio;AM;Eirunepé;"Praia da Orla Central de Eirunepé; Praia do Rio Juruá; Praia do Eiru e Praia da Vila Gomes";Zona Rural;Próximo a Foz e próximo ao Porto de Eirunepé.;1400;400;;Marinha do Brasil;Poder público;;91;0;77;14;0;Mais de 90 minutos;1 hora;08:00:00;500;;0;;;;;;;;;;;;;;;;;0;;;;;;;;0;;;;;;;0;;;;;0;;;;;;;;0;;;;;;;0;;;;;;;;0;;;;;;;0;;;;;;;;0;;;;Serviço de limpeza urbana;Rios +Limpos
18/09/2021;08:00:00;Rio;RS;Porto Alegre;Praia da Pedra Redonda;Praia Redonda;xxx;0;0;;Marinha do Brasil;Poder público;;14;0;0;14;0;Mais de 90 minutos;;03:00:00;700;;0;;;;;;;;;;;;;;;;;0;;;;;;;;0;;;;;;;0;;;;;0;;;;;;;;0;;;;;;;0;;;;;;;;0;;;;;;;0;;;;;;;;0;;;;Serviço de limpeza urbana;Rios +Limpos
18/09/2021;09:00:00;Rio;AM;Tefé;Praia da Ponta Branca;CENTRO;PRÓXIMO AO PORTO DE TEFÉ;700;500;;Marinha do Brasil;Poder público;www.marinha.mil.br/om/agencia-fluvial-de-tefe;3;0;0;3;0;Mais de 90 minutos;1 hora;04:00:00;30;100;120;10;0;20;30;20;0;0;0;20;0;0;0;0;20;0;;0;;;;;;;;0;;;;;;;0;;;;;0;;;;;;;;70;20;40;0;10;0;PEDAÇOS DE VERGALHÃO.;70;0;50;0;0;20;0;0;0;;;;;;;0;;;;;;;;0;;;;Serviço de limpeza urbana;Rios +Limpos
18/09/2021;08:00:00;Rio;RO;Porto Velho;Praia de São Sebastião;Baixa da União;Porto Cai N'Água;50;50;;Marinha do Brasil;Poder público;https://www.marinha.mil.br/om/capitania-fluvial-de-porto-velho;4;0;0;4;0;60 minutos;;11:00:00;15;50;0;;;;;;;;;;;;;;;;;0;;;;;;;;0;;;;;;;0;;;;;0;;;;;;;;0;;;;;;;0;;;;;;;;0;;;;;;;0;;;;;;;;0;;;;Serviço de limpeza urbana;Rios +Limpos
18/09/2021;09:30:00;Rio;RR;Caracaraí;Praia do Chacrinha;CENTRO;ORLA;60;40;;Marinha do Brasil;Poder público;https://www.marinha.mil.br/agcaracarai/;13;0;0;13;0;Mais de 90 minutos;1 hora;03:00:00;15;;0;;;;;;;;;;;;;;;;;0;;;;;;;;0;;;;;;;0;;;;;0;;;;;;;;0;;;;;;;0;;;;;;;;0;;;;;;;0;;;;;;;;0;;;;Serviço de limpeza urbana;Rios +Limpos
18/09/2021;08:00:00;Praia;PA;Santarém;Praia do Maracanã;Maracanã;orla do maracanã;300;20;;Marinha do Brasil;Poder público;https://www.marinha.mil.br/cfs/;21;0;7;14;0;Mais de 90 minutos;;02:30:00;;;0;;;;;;;;;;;;;;;;;0;;;;;;;;0;;;;;;;0;;;;;0;;;;;;;;0;;;;;;;0;;;;;;;;0;;;;;;;0;;;;;;;;0;;;;Serviço de limpeza urbana;Rios +Limpos
18/09/2021;17:00:00;Rio;RO;Candeias do Jamari;Praia do Rio Preto;RIO CANDEIAS;PONTE SOBRE O RIO CANDEIAS;50;100;;Marinha do Brasil;Poder público;https://www.marinha.mil.br/om/capitania-fluvial-de-porto-velho;4;0;0;4;0;30 minutos;1 hora;18:00:00;5;50;0;;;;;;;;;;;;;;;;;0;;;;;;;;0;;;;;;;0;;;;;0;;;;;;;;0;;;;;;;0;;;;;;;;0;;;;;;;0;;;;;;;;0;;;;Serviço de limpeza urbana;Rios +Limpos
18/09/2021;08:30:00;Rio;RO;Guajará-Mirim;Praia do Três Bocas;Centro;Rio Pacáas Novos;110;25;;Marinha do Brasil;Poder público;www.marinha.mil.br;5;0;0;5;0;Mais de 90 minutos;1 hora;06:00:00;35;98;61;54;0;0;0;7;0;0;0;0;0;0;0;0;0;0;"garrafas de vidro: 18 UN;
papéis: 23 embalagens diversas, ferro: 3 pedaços em diferentes tamanhos";0;;;;;;;;0;;;;;;;0;0;0;0;papéis;23;10;13;0;0;0;0;;3;0;0;0;3;0;;18;0;18;0;0;0;0;;0;;;;;;;0;;;;;;;;0;;;;Serviço de limpeza urbana;Rios +Limpos
18/09/2021;09:30:00;Rio;RR;Caracaraí;Prainha;CENTRO;ORLA;10;60;;Marinha do Brasil;Poder público;https://www.marinha.mil.br/agcaracarai/;13;0;0;13;0;Mais de 90 minutos;1 hora;03:00:00;22;;0;;;;;;;;;;;;;;;;;0;;;;;;;;0;;;;;;;0;;;;;0;;;;;;;;0;;;;;;;0;;;;;;;;0;;;;;;;0;;;;;;;;0;;;;Serviço de limpeza urbana;Rios +Limpos
18/09/2021;09:30:00;Rural;SP;Joanópolis;Represa Jaguari-Jacareí - Estrada Passagem dos Biguás;Lagoa;Pedra 11;5000;30;;Limpa Brasil;Organização da sociedade civil;www.limpabrasil.org;10;0;1;11;0;Mais de 90 minutos;;04:00:00;;;0;;;;;;;;;;;;;;;;;0;;;;;;;;0;;;;;;;0;;;;;0;;;;;;;;0;;;;;;;0;;;;;;;;0;;;;;;;0;;;;;;;;0;;;;Serviço de limpeza urbana;Rios +Limpos
18/09/2021;08:00:00;Rio;AM;Humaitá;Rio Ipixuna;HUMAITÁ;BALNEÁRIO DO IPIXUNA;700;15;;Marinha do Brasil;Poder público;;13;0;6;7;0;Mais de 90 minutos;1 hora;04:00:00;100;130;244;10;3;15;20;80;0;0;2;30;0;0;0;0;61;23;TAMPA DE FOGÃO;0;;;;;;;;0;;;;;;;0;;;;;0;;;;;;;;0;;;;;;;84;0;70;0;0;12;2;;0;;;;;;;19;12;0;0;0;7;0;;0;;;;Serviço de limpeza urbana;Rios +Limpos
18/09/2021;08:00:00;Rio;PI;Teresina;Rio Parnaíba;Matinha;Iate Clube de Teresina;200;15;;Marinha do Brasil;Poder público;https://www.marinha.mil.br/cppi/;15;2;5;8;0;Mais de 90 minutos;2 horas;02:00:00;100;45;0;;;;;;;;;;;;;;;;;0;;;;;;;;0;;;;;;;0;;;;;0;;;;;;;;0;;;;;;;0;;;;;;;;0;;;;;;;0;;;;;;;;0;;;;Serviço de limpeza urbana;Rios +Limpos
18/09/2021;09:00:00;Rio;AM;Manaus;Rio Tarumã-Açú;Manaus;Rio Tarumã-Açú;3000;1000;;Marinha do Brasil;Poder público;https://www.marinha.mil.br/cfaoc/;14;0;0;14;0;Mais de 90 minutos;3 horas;05:00:00;290;217;240;120;30;0;30;35;8;0;;17;0;0;0;0;0;0;0;15;7;3;2;3;0;0;0;25;13;0;0;5;7;0;15;0;7;8;0;10;5;4;0;0;1;0;0;5;5;0;0;0;0;0;15;9;2;3;1;0;0;0;10;0;5;0;5;0;00:00:00;0;;;;;;;;2;0;2;0;Serviço de limpeza urbana;Rios +Limpos
18/09/2021;08:00:00;Rio;RS;Uruguaiana;Rio Uruguai;xxx;xxx;0;0;;Marinha do Brasil;Poder público;;12;0;0;12;0;Mais de 90 minutos;;03:00:00;100;;0;;;;;;;;;;;;;;;;;0;;;;;;;;0;;;;;;;0;;;;;0;;;;;;;;0;;;;;;;0;;;;;;;;0;;;;;;;0;;;;;;;;0;;;;Serviço de limpeza urbana;Rios +Limpos
